,rvu,rvd,ivu,ivd,vrpu,vrpd,vrp
2007-01-04,,,0.0018127815396868,0.0023398225858724,,,
2007-01-05,,,0.0018020389466407898,0.0026026074577970397,,,
2007-01-08,,,0.0018172477790219,0.00250068270610545,,,
2007-01-09,,,0.0018572713635199,0.0024880011747519,,,
2007-01-10,,,0.00171844060554284,0.00241704883723664,,,
2007-01-11,,,0.0016456418793667099,0.00220469765322249,,,
2007-01-12,,,0.00159562146159853,0.00197761431743962,,,
2007-01-16,,,0.00168197700276251,0.00207197296891139,,,
2007-01-17,,,0.00161484191431556,0.00205563547659508,,,
2007-01-18,,,0.00166288523412738,0.00205083616582701,,,
2007-01-19,,,0.00153847238825384,0.00200853338073549,,,
2007-01-22,,,0.00156063409349321,0.0019471023076551,,,
2007-01-23,,,0.00141885394229598,0.0018546030254376102,,,
2007-01-24,,,0.0012777942586196301,0.00172193169469655,,,
2007-01-25,,,0.0015351613813609,0.0019171547182731897,,,
2007-01-26,,,0.00151020582185792,0.0019431683700002601,,,
2007-01-29,,,0.0015123222199289199,0.00198989053190429,,,
2007-01-30,,,0.00141927384181442,0.00193365625111117,,,
2007-01-31,,,0.0014217370997186,0.00171608760929489,,,
2007-02-01,,,0.00139020874803305,0.00172586808528801,,,
2007-02-02,,,0.00131274980100418,0.0018087074258219102,,,
2007-02-05,,,0.0014008435235970198,0.0018428962392636398,,,
2007-02-06,,,0.00138905856915153,0.00185028057773082,,,
2007-02-07,,,0.0013880598390948599,0.0017708956093438102,,,
2007-02-08,,,0.00142068531864791,0.00183400821147694,,,
2007-02-09,,,0.00147528733021255,0.0020692623225936698,,,
2007-02-12,,,0.00161771019381015,0.00213311322709333,,,
2007-02-13,,,0.00144289976288235,0.0018566349209222601,,,
2007-02-14,,,0.0014656071815165699,0.00171980762308572,,,
2007-02-15,,,0.0014490183590234302,0.00174543664621915,,,
2007-02-16,,,0.00141157569112225,0.00172979278676522,,,
2007-02-20,,,0.0013609234095216,0.00169138515077726,,,
2007-02-21,,,0.0013282213722602301,0.00175110149138415,,,
2007-02-22,,,0.00142392049320586,0.00174227893643122,,,
2007-02-23,,,0.00140993411590455,0.00195762157205479,,,
2007-02-26,,,0.00157625259557627,0.0019238267747676801,,,
2007-02-27,,,0.0027615714263187897,0.004383633348578371,,,
2007-02-28,,,0.0021549398928723397,0.00306643479030255,,,
2007-03-01,,,0.0020966608291980602,0.00322617207452178,,,
2007-03-02,,,0.00248398396008818,0.004319426985871329,,,
2007-03-05,,,0.00278398290619039,0.0045958973470479,,,
2007-03-06,,,0.00200936082039305,0.0036564166352439295,,,
2007-03-07,,,0.00198445144122383,0.00339048644269646,,,
2007-03-08,,,0.0018647545691063698,0.00307644628873175,,,
2007-03-09,,,0.00191118200792874,0.0036796437727168,,,
2007-03-12,,,0.00186107439741905,0.0028509817395934198,,,
2007-03-13,,,0.00253268798735943,0.00405447926216565,,,
2007-03-14,,,0.00214615641794247,0.00417061643560869,,,
2007-03-15,,,0.00226482020040265,0.004090113914529329,,,
2007-03-16,,,0.00225971624569531,0.004625110153790879,,,
2007-03-19,,,0.00198885310828189,0.00347521638086535,,,
2007-03-20,,,0.0017864444968262699,0.00318259963290293,,,
2007-03-21,,,0.0014714063381453199,0.0026126703192314,,,
2007-03-22,,,0.00161720948196396,0.00269487321406665,,,
2007-03-23,,,0.0016886887231374699,0.0027202506401861,,,
2007-03-26,,,0.00164902202256056,0.0029163927110209898,,,
2007-03-27,,,0.00179551842934182,0.00298409447670804,,,
2007-03-28,,,0.00201507499222306,0.0035441216477731796,,,
2007-03-29,,,0.00207620617884455,0.00365733965504929,,,
2007-03-30,,,0.0019800751455731898,0.00356664993062489,,,
2007-04-02,,,0.00193575550443995,0.00353955708773175,,,
2007-04-03,,,0.00175652212500905,0.00317456117060165,,,
2007-04-04,0.0014225242700687823,0.0016132345634996814,0.00179164088124775,0.00313941013441942,0.00036911661117896774,0.0015261755709197386,0.0018952921820987064
2007-04-05,0.0014088013827369735,0.001597434639148418,0.00185967266554197,0.00296624233846388,0.0004508712828049965,0.0013688076993154622,0.0018196789821204587
2007-04-09,0.0014097291536867985,0.0015692159846042615,0.0019066960892058801,0.00587226785976164,0.0004969669355190816,0.0043030518751573784,0.00480001881067646
2007-04-10,0.0014035975337313394,0.0015629366816973598,0.00175048878311161,0.00286024314213158,0.00034689124938027055,0.0012973064604342203,0.0016441977098144908
2007-04-11,0.0013967250135916989,0.0015643723768062666,0.00189223852569335,0.00306198949881888,0.0004955135121016512,0.0014976171220126135,0.0019931306341142646
2007-04-12,0.0013960384013635254,0.0015481832978758944,0.00178457794073242,0.00292689351419576,0.00038853953936889463,0.0013787102163198657,0.0017672497556887603
